issue_id,num_reassignments
CAMEL-18580,0.0
CAMEL-1809,0.0
HADOOP-6977,0.0
CAMEL-6752,1.0
HADOOP-13201,1.0
CAMEL-288,0.0
HADOOP-19827,1.0
HADOOP-14673,1.0
HADOOP-18228,2.0
CAMEL-11400,0.0
CAMEL-19586,0.0
CAMEL-14948,1.0
HADOOP-3485,1.0
CAMEL-12762,1.0
HADOOP-4097,0.0
CAMEL-13386,1.0
HADOOP-9106,1.0
CAMEL-13674,0.0
CAMEL-23205,1.0
HADOOP-4430,0.0
CAMEL-14681,1.0
CAMEL-23508,0.0
HADOOP-18156,4.0
CAMEL-2473,0.0
HADOOP-347,0.0
CAMEL-13277,0.0
HADOOP-14622,0.0
HADOOP-12977,1.0
CAMEL-6690,0.0
CAMEL-11447,0.0
CAMEL-14483,1.0
HADOOP-1020,1.0
CAMEL-5415,1.0
CAMEL-11650,0.0
CAMEL-13598,1.0
CAMEL-17603,0.0
CAMEL-419,0.0
CAMEL-4144,1.0
CAMEL-14912,1.0
HADOOP-18958,1.0
HADOOP-271,0.0
CAMEL-4980,0.0
HADOOP-3754,0.0
HADOOP-4690,1.0
CAMEL-17524,0.0
HADOOP-16882,1.0
HADOOP-19137,0.0
HADOOP-13439,1.0
HADOOP-9354,0.0
CAMEL-11989,0.0
HADOOP-3473,0.0
CAMEL-3401,0.0
CAMEL-11780,3.0
CAMEL-9693,0.0
HADOOP-19744,1.0
HADOOP-18302,0.0
CAMEL-3545,1.0
CAMEL-14141,0.0
HADOOP-12665,4.0
CAMEL-22881,0.0
CAMEL-15984,0.0
CAMEL-5294,1.0
HADOOP-7446,1.0
CAMEL-10570,0.0
HADOOP-12469,1.0
HADOOP-16349,2.0
HADOOP-7947,1.0
CAMEL-21510,1.0
CAMEL-17042,0.0
CAMEL-16962,1.0
HADOOP-8986,0.0
CAMEL-22535,1.0
HADOOP-4786,1.0
HADOOP-8159,0.0
CAMEL-17866,1.0
HADOOP-10110,0.0
CAMEL-5376,1.0
CAMEL-4609,1.0
CAMEL-20298,1.0
HADOOP-11193,0.0
CAMEL-13058,0.0
CAMEL-11267,1.0
CAMEL-1712,0.0
CAMEL-4292,1.0
HADOOP-1205,1.0
HADOOP-8563,0.0
CAMEL-3533,1.0
CAMEL-9035,1.0
CAMEL-3597,0.0
HADOOP-2989,0.0
HADOOP-10067,1.0
CAMEL-1840,0.0
HADOOP-451,1.0
HADOOP-16510,1.0
CAMEL-5185,1.0
CAMEL-15806,0.0
HADOOP-13052,0.0
CAMEL-6709,0.0
CAMEL-10459,1.0
CAMEL-6556,1.0
HADOOP-15816,1.0
CAMEL-8845,0.0
CAMEL-15163,0.0
CAMEL-3472,1.0
CAMEL-15489,0.0
HADOOP-146,0.0
CAMEL-10095,1.0
CAMEL-11463,1.0
HADOOP-14173,0.0
CAMEL-19232,1.0
CAMEL-16509,0.0
CAMEL-17875,0.0
HADOOP-2095,1.0
CAMEL-18076,1.0
CAMEL-173,1.0
HADOOP-228,0.0
HADOOP-7266,1.0
CAMEL-15007,0.0
CAMEL-9113,1.0
CAMEL-20976,0.0
CAMEL-6999,2.0
CAMEL-4396,1.0
CAMEL-23123,0.0
CAMEL-17404,0.0
CAMEL-13028,0.0
CAMEL-3558,0.0
CAMEL-19129,1.0
CAMEL-14223,0.0
CAMEL-7260,1.0
HADOOP-833,1.0
CAMEL-7644,2.0
CAMEL-4586,0.0
CAMEL-22130,1.0
CAMEL-20721,1.0
CAMEL-5886,0.0
CAMEL-5859,0.0
HADOOP-8764,1.0
HADOOP-9652,5.0
HADOOP-1601,0.0
HADOOP-64,2.0
CAMEL-23389,1.0
CAMEL-15566,0.0
CAMEL-827,1.0
CAMEL-14956,1.0
CAMEL-6383,0.0
HADOOP-14938,1.0
CAMEL-10150,0.0
CAMEL-23241,1.0
CAMEL-23636,1.0
HADOOP-13831,1.0
HADOOP-2873,1.0
CAMEL-6866,1.0
CAMEL-7191,1.0
HADOOP-5172,1.0
HADOOP-4917,2.0
CAMEL-14182,0.0
CAMEL-2886,0.0
HADOOP-6066,0.0
HADOOP-8036,2.0
CAMEL-23190,0.0
HADOOP-8140,3.0
CAMEL-1015,0.0
HADOOP-5671,0.0
CAMEL-9643,0.0
CAMEL-23132,1.0
CAMEL-21950,1.0
CAMEL-22354,1.0
CAMEL-11585,1.0
HADOOP-5232,1.0
CAMEL-21487,0.0
CAMEL-10436,1.0
CAMEL-19402,0.0
CAMEL-17476,0.0
CAMEL-7947,0.0
