loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,issue_type,defect_prone
2194,4.363636363636363,99,8,TIKA-4268,TIKA,ai_era,Task,0
1030,5.439024390243903,41,3,TIKA-4752,TIKA,ai_era,Task,0
920,1.9145299145299146,117,2,TIKA-3172,TIKA,ai_era,Wish,0
570,2.4523809523809526,42,2,TIKA-2703,TIKA,pre_ai,Bug,1
680,2.462962962962963,54,5,TIKA-3717,TIKA,pre_ai,Task,0
767,3.3333333333333335,48,13,TIKA-31,TIKA,pre_ai,Improvement,0
57,1.6666666666666667,3,1,TIKA-668,TIKA,pre_ai,Improvement,0
220,10.0,10,1,TIKA-4675,TIKA,ai_era,New Feature,0
72,2.25,4,1,TIKA-1362,TIKA,pre_ai,Bug,1
1610,2.4918032786885247,122,9,TIKA-4560,TIKA,ai_era,Task,0
393,2.9,30,2,TIKA-2625,TIKA,pre_ai,Bug,1
188,5.111111111111111,9,1,TIKA-633,TIKA,pre_ai,Bug,1
862,2.12,75,10,TIKA-756,TIKA,pre_ai,New Feature,0
57,2.0,3,1,TIKA-4625,TIKA,ai_era,Task,0
2744,2.502463054187192,203,10,TIKA-4652,TIKA,ai_era,Task,0
332,3.8,15,2,TIKA-2048,TIKA,pre_ai,Bug,1
580,5.3,30,2,TIKA-650,TIKA,pre_ai,Bug,1
3214,3.682051282051282,195,23,TIKA-1599,TIKA,ai_era,Improvement,0
676,2.5,42,4,TIKA-2864,TIKA,pre_ai,Task,0
4224,2.975975975975976,333,10,TIKA-4017,TIKA,ai_era,Task,0
464,4.434782608695652,23,1,TIKA-4692,TIKA,ai_era,Task,0
62,1.6666666666666667,3,1,TIKA-1681,TIKA,pre_ai,Bug,1
132,9.0,4,1,TIKA-800,TIKA,pre_ai,Bug,1
1469,2.873873873873874,111,4,TIKA-4760,TIKA,ai_era,Task,0
2083,4.205357142857143,112,4,TIKA-4563,TIKA,ai_era,Task,0
77,1.6,5,3,TIKA-257,TIKA,pre_ai,Bug,1
